LOT,OPERATION,OUT_DATE
A528920B,268579,2025-08-06 06:39:10
A528920B,229027,2025-08-06 11:37:28
A528920B,231093,2025-08-06 11:55:16
A528920B,269328,2025-08-06 12:23:48
A528920B,246381,2025-08-06 12:55:18
A528920B,237196,2025-08-06 13:46:15
A528920B,179409,2025-08-06 14:01:02
A528920B,143814,2025-08-06 14:12:47
A528920B,179410,2025-08-06 14:12:47
A528920B,180260,2025-08-06 14:12:47
A528920B,180261,2025-08-06 14:12:47
A528920B,180862,2025-08-06 14:12:47
A528920B,180262,2025-08-07 18:48:38
A528920B,143815,2025-08-07 18:58:54
A528920B,143816,2025-08-07 18:58:54
A528920B,143817,2025-08-07 18:58:54
A528920B,143818,2025-08-07 18:58:54
A528920B,180079,2025-08-07 18:58:54
A528920B,182742,2025-08-07 18:58:54
A528920B,228863,2025-08-07 19:12:02
A528920B,230518,2025-08-07 19:49:55
A528920B,208662,2025-08-07 20:04:33
A528920B,230832,2025-08-07 20:04:33
A528920B,208663,2025-08-07 20:15:37
A528920B,244871,2025-08-07 20:15:37
A528920B,230516,2025-08-07 20:22:20
A528920B,230517,2025-08-07 20:33:09
A528920B,210655,2025-08-07 20:39:58
A528920B,210657,2025-08-07 20:48:32
A528920B,144185,2025-08-07 23:18:45
A528920B,210622,2025-08-07 23:18:45
A528920B,257024,2025-08-07 23:18:45
A528920B,210638,2025-08-07 23:24:41
A528920B,256966,2025-08-07 23:24:41
A528920B,250922,2025-08-08 00:18:19
A528920B,230873,2025-08-08 01:14:30
A528920B,248213,2025-08-08 01:27:18
A528920B,250941,2025-08-08 01:35:04
A528920B,264151,2025-08-08 01:35:04
A528920B,263098,2025-08-08 02:00:29
A528920B,229026,2025-08-08 02:22:21
A528920B,231025,2025-08-08 03:22:44
A528920B,229465,2025-08-08 03:23:27
A528920B,238691,2025-08-08 06:09:06
A528920B,238692,2025-08-08 06:44:56
A528920B,263099,2025-08-08 06:51:50
A528920B,229029,2025-08-12 13:45:43
A528920B,248214,2025-08-12 14:16:18
A528920B,247913,2025-08-12 16:36:58
A528920B,263101,2025-08-12 16:49:48
A528920B,237197,2025-08-12 19:29:36
A528920B,264174,2025-08-12 19:58:10
A528920B,214155,2025-08-12 20:27:11
A528920B,247188,2025-08-12 20:27:11
A528920B,256934,2025-08-12 20:27:11
A528920B,146197,2025-08-12 20:27:12
A528920B,179552,2025-08-12 20:39:11
A528920B,181163,2025-08-12 21:15:43
A528920B,145051,2025-08-12 21:28:06
A528920B,208664,2025-08-12 21:28:06
A528920B,145036,2025-08-12 21:51:18
A528920B,208665,2025-08-12 21:51:18
A528920B,209700,2025-08-12 21:51:18
A528920B,180080,2025-08-12 22:11:03
A528920B,145027,2025-08-12 22:19:48
A528920B,180474,2025-08-12 22:27:01
A528920B,180475,2025-08-12 22:34:09
A528920B,224276,2025-08-12 22:34:09
A528920B,224465,2025-08-12 22:34:09
A528920B,144184,2025-08-13 03:12:31
A528920B,217274,2025-08-13 03:12:31
A528920B,224466,2025-08-13 03:12:31
A528920B,234119,2025-08-13 03:12:31
A528920B,204146,2025-08-13 04:57:02
A528920B,224277,2025-08-13 04:57:02
A528920B,234107,2025-08-13 04:57:02
A528920B,204709,2025-08-13 05:32:52
A528920B,181187,2025-08-13 07:20:36
A528920B,179411,2025-08-13 07:31:02
A528920B,217140,2025-08-13 07:31:02
A528920B,217538,2025-08-13 07:31:02
A528920B,236157,2025-08-13 07:36:09
A528920B,264152,2025-08-13 07:36:09
A528920B,263103,2025-08-13 07:50:05
A528920B,144246,2025-08-13 07:51:27
A528920B,264448,2025-08-13 08:25:17
A528920B,207613,2025-08-13 08:39:07
A528920B,179412,2025-08-13 09:22:41
A528920B,262626,2025-08-13 14:47:59
A528920B,255474,2025-08-13 15:04:12
A528920B,263106,2025-08-13 15:10:20
A528920B,195250,2025-08-13 17:55:40
A528920B,237797,2025-08-13 18:04:15
A528920B,145148,2025-08-13 18:59:19
A528920B,263109,2025-08-13 19:27:13
A528920B,180463,2025-08-13 20:05:51
A528920B,143810,2025-08-13 21:10:05
A528920B,146197,2025-08-13 21:10:05
A528920B,176474,2025-08-13 21:10:05
A528920B,179414,2025-08-13 21:10:05
A528920B,182729,2025-08-13 21:10:05
A528920B,214155,2025-08-13 21:10:05
A528920B,256934,2025-08-13 21:10:05
A528920B,146197,2025-08-13 21:10:06
A528920B,214155,2025-08-13 21:10:06
A528920B,256934,2025-08-13 21:10:06
A528920B,143811,2025-08-14 08:18:31
A528920B,143812,2025-08-14 10:02:25
A528920B,143813,2025-08-14 10:43:42
A528920B,182743,2025-08-14 10:43:42
A528920B,180407,2025-08-15 03:40:17
A528920B,187123,2025-08-15 03:47:46
A528920B,180672,2025-08-15 04:12:03
A528920B,236876,2025-08-15 04:49:05
A528920B,144300,2025-08-15 04:59:20
A528920B,213611,2025-08-15 16:58:56
A528920B,144527,2025-08-15 17:32:46
A528920B,179576,2025-08-15 20:32:57
A528920B,144522,2025-08-15 20:55:42
A528920B,144345,2025-08-16 16:07:13
A528920B,179577,2025-08-16 23:07:24
A528920B,243693,2025-08-17 01:59:27
A528920B,243692,2025-08-17 05:03:46
A528920B,220418,2025-08-17 05:03:47
A528920B,144187,2025-08-17 06:04:52
A528920B,180670,2025-08-17 06:04:52
A528920B,144237,2025-08-17 19:02:37
A528920B,210932,2025-08-17 22:20:14
A528920B,210933,2025-08-17 23:21:10
A528920B,214155,2025-08-18 00:02:23
A528920B,249275,2025-08-18 00:02:23
A528920B,256934,2025-08-18 00:02:23
A528920B,146197,2025-08-18 00:02:24
A528920B,209701,2025-08-18 00:02:24
A528920B,179783,2025-08-18 00:10:33
A528920B,179784,2025-08-18 00:16:52
A528920B,181676,2025-08-18 00:35:12
A528920B,181677,2025-08-18 00:48:51
A528920B,228847,2025-08-18 01:21:31
A528920B,153612,2025-08-18 01:31:13
A528920B,181678,2025-08-18 01:31:13
A528920B,217275,2025-08-18 01:31:13
A528920B,204476,2025-08-18 01:37:34
A528920B,228849,2025-08-18 01:37:34
A528920B,257604,2025-08-18 08:16:52
A528920B,180650,2025-08-18 08:33:29
A528920B,179926,2025-08-18 08:33:30
A528920B,180657,2025-08-18 09:03:13
A528920B,219046,2025-08-18 09:13:34
A528920B,146197,2025-08-18 09:27:24
A528920B,179581,2025-08-18 09:27:24
A528920B,214155,2025-08-18 09:27:24
A528920B,256934,2025-08-18 09:27:24
A528920B,179786,2025-08-18 09:33:57
A528920B,179787,2025-08-18 09:37:57
A528920B,181679,2025-08-18 09:46:13
A528920B,181680,2025-08-18 09:54:50
A528920B,228848,2025-08-18 19:46:27
A528920B,153613,2025-08-18 20:01:13
A528920B,181681,2025-08-18 20:01:13
A528920B,217276,2025-08-18 20:01:13
A528920B,204477,2025-08-18 21:49:14
A528920B,145682,2025-08-18 22:18:56
A528920B,145677,2025-08-18 22:40:50
A528920B,146372,2025-08-18 22:50:21
A528920B,146373,2025-08-18 22:55:29
A528920B,181679,2025-08-18 23:16:40
A528920B,181680,2025-08-18 23:23:56
A528920B,228848,2025-08-19 00:07:22
A528920B,181681,2025-08-19 00:25:14
A528920B,153613,2025-08-19 00:25:15
A528920B,217276,2025-08-19 00:25:15
A528920B,204477,2025-08-19 00:31:57
A528920B,228850,2025-08-19 00:31:57
A528920B,257605,2025-08-19 01:04:40
A528920B,180651,2025-08-19 01:12:56
A528920B,179927,2025-08-19 01:12:57
A528920B,180658,2025-08-19 01:41:54
A528920B,219047,2025-08-19 02:04:39
